"idsensore","data","valore","stato","idoperatore"
"12570","2025-01-01T00:00:00.000","44","VA","1"
"12574","2025-01-01T00:00:00.000","32","VA","1"
"12577","2025-01-01T00:00:00.000","132","VA","1"
"12584","2025-01-01T00:00:00.000","140","VA","1"
"12671","2025-01-01T00:00:00.000","2.361","VA","1"
"17042","2024-12-31T22:00:00.000","18.1","VA","1"
"17042","2024-12-31T23:00:00.000","13.0","VA","1"
"17042","2025-01-01T00:00:00.000","11.5","VA","1"
"17122","2025-01-01T00:00:00.000","143","VA","1"
"17126","2024-12-31T22:00:00.000","3.8","VA","1"
"17126","2024-12-31T23:00:00.000","4.0","VA","1"
"17126","2025-01-01T00:00:00.000","4.5","VA","1"
"17127","2024-12-31T22:00:00.000","4.7","VA","1"
"17127","2024-12-31T23:00:00.000","4.5","VA","1"
"17127","2025-01-01T00:00:00.000","4.6","VA","1"
"17159","2025-01-01T00:00:00.000","105","VA","1"
"17162","2025-01-01T00:00:00.000","11","VA","1"
"17285","2024-12-31T22:00:00.000","146.5","VA","1"
"17285","2024-12-31T23:00:00.000","219.5","VA","1"
"17285","2025-01-01T00:00:00.000","198.5","VA","1"
"17286","2024-12-31T22:00:00.000","63.8","VA","1"
"17286","2024-12-31T23:00:00.000","57.2","VA","1"
"17286","2025-01-01T00:00:00.000","48.4","VA","1"
"17288","2024-12-31T22:00:00.000","8.2","VA","1"
"17288","2024-12-31T23:00:00.000","9.2","VA","1"
"17288","2025-01-01T00:00:00.000","8.9","VA","1"
"17290","2025-01-01T00:00:00.000","102","VA","1"
"17293","2025-01-01T00:00:00.000","57","VA","1"
"17295","2024-12-31T22:00:00.000","5.4","VA","1"
"17295","2024-12-31T23:00:00.000","5.6","VA","1"
"17295","2025-01-01T00:00:00.000","5.3","VA","1"
"17297","2024-12-31T22:00:00.000","5.4","VA","1"
"17297","2024-12-31T23:00:00.000","5.3","VA","1"
"17297","2025-01-01T00:00:00.000","5.9","VA","1"
"20004","2024-12-31T22:00:00.000","9.0","VA","1"
"20004","2024-12-31T23:00:00.000","9.0","VA","1"
"20004","2025-01-01T00:00:00.000","10.8","VA","1"
"20020","2024-12-31T22:00:00.000","17.1","VA","1"
"20020","2024-12-31T23:00:00.000","13.8","VA","1"
"20020","2025-01-01T00:00:00.000","13.4","VA","1"
"20031","2024-12-31T22:00:00.000","5.4","VA","1"
"20031","2024-12-31T23:00:00.000","6.4","VA","1"
"20031","2025-01-01T00:00:00.000","7.1","VA","1"
"20032","2024-12-31T22:00:00.000","164.4","VA","1"
"20032","2024-12-31T23:00:00.000","99.7","VA","1"
"20032","2025-01-01T00:00:00.000","54.2","VA","1"
"20034","2024-12-31T22:00:00.000","58.1","VA","1"
"20034","2024-12-31T23:00:00.000","49.1","VA","1"
"20034","2025-01-01T00:00:00.000","42.7","VA","1"
"20041","2024-12-31T22:00:00.000","3.0","VA","1"
"20041","2024-12-31T23:00:00.000","3.4","VA","1"
"20041","2025-01-01T00:00:00.000","2.5","VA","1"
"20042","2024-12-31T22:00:00.000","8.9","VA","1"
"20042","2024-12-31T23:00:00.000","8.9","VA","1"
"20042","2025-01-01T00:00:00.000","10.9","VA","1"
"20082","2024-12-31T22:00:00.000","12.5","VA","1"
"20082","2024-12-31T23:00:00.000","11.9","VA","1"
"20082","2025-01-01T00:00:00.000","11.2","VA","1"
"20104","2025-01-01T00:00:00.000","120","VA","1"
"20154","2024-12-31T22:00:00.000","15.3","VA","1"
"20154","2024-12-31T23:00:00.000","16.5","VA","1"
"20154","2025-01-01T00:00:00.000","14.6","VA","1"
"20155","2025-01-01T00:00:00.000","84","VA","1"
"20156","2024-12-31T22:00:00.000","5.5","VA","1"
"20156","2024-12-31T23:00:00.000","6.0","VA","1"
"20156","2025-01-01T00:00:00.000","6.3","VA","1"
"20157","2025-01-01T00:00:00.000","69","VA","1"
"20197","2025-01-01T00:00:00.000","92","VA","1"
"20216","2024-12-31T22:00:00.000","6.0","VA","1"
"20216","2024-12-31T23:00:00.000","5.4","VA","1"
"20216","2025-01-01T00:00:00.000","5.1","VA","1"
"20358","2025-01-01T00:00:00.000","130","VA","1"
"20401","2024-12-31T22:00:00.000","0.9","VA","1"
"20401","2024-12-31T23:00:00.000","1.1","VA","1"
"20401","2025-01-01T00:00:00.000","0.8","VA","1"
"20428","2025-01-01T00:00:00.000","-9999","NA","1"
"20429","2025-01-01T00:00:00.000","195.1","VA","1"
"20441","2024-12-31T22:00:00.000","8.1","VA","1"
"20441","2024-12-31T23:00:00.000","6.2","VA","1"
"20441","2025-01-01T00:00:00.000","5.8","VA","1"
"20442","2024-12-31T22:00:00.000","2.6","VA","1"
"20442","2024-12-31T23:00:00.000","2.6","VA","1"
"20442","2025-01-01T00:00:00.000","2.5","VA","1"
"20443","2024-12-31T22:00:00.000","4.0","VA","1"
"20443","2024-12-31T23:00:00.000","2.2","VA","1"
"20443","2025-01-01T00:00:00.000","1.9","VA","1"
"20455","2024-12-31T22:00:00.000","9.0","VA","1"
"20455","2024-12-31T23:00:00.000","12.0","VA","1"
"20455","2025-01-01T00:00:00.000","12.5","VA","1"
"20465","2024-12-31T22:00:00.000","3.7","VA","1"
"20465","2024-12-31T23:00:00.000","4.3","VA","1"
"20465","2025-01-01T00:00:00.000","5.8","VA","1"
"20484","2024-12-31T22:00:00.000","12.5","VA","1"
"20484","2024-12-31T23:00:00.000","9.3","VA","1"
"20484","2025-01-01T00:00:00.000","8.9","VA","1"
"20487","2024-12-31T22:00:00.000","1.0","VA","1"
"20487","2024-12-31T23:00:00.000","0.9","VA","1"
"20487","2025-01-01T00:00:00.000","0.8","VA","1"
"20489","2024-12-31T22:00:00.000","88.3","VA","1"
"20489","2024-12-31T23:00:00.000","109.0","VA","1"
"20489","2025-01-01T00:00:00.000","115.0","VA","1"
"20490","2024-12-31T22:00:00.000","44.2","VA","1"
"20490","2024-12-31T23:00:00.000","59.6","VA","1"
"20490","2025-01-01T00:00:00.000","65.2","VA","1"
"20491","2024-12-31T22:00:00.000","20.4","VA","1"
"20491","2024-12-31T23:00:00.000","17.6","VA","1"
"20491","2025-01-01T00:00:00.000","14.9","VA","1"
"20492","2025-01-01T00:00:00.000","113.5","VA","1"
"20493","2024-12-31T22:00:00.000","75.5","VA","1"
"20493","2024-12-31T23:00:00.000","73.2","VA","1"
"20493","2025-01-01T00:00:00.000","68.4","VA","1"
"20494","2024-12-31T22:00:00.000","16.7","VA","1"
"20494","2024-12-31T23:00:00.000","17.6","VA","1"
"20494","2025-01-01T00:00:00.000","17.4","VA","1"
"20495","2024-12-31T22:00:00.000","49.9","VA","1"
"20495","2024-12-31T23:00:00.000","46.2","VA","1"
"20495","2025-01-01T00:00:00.000","41.8","VA","1"
"20496","2025-01-01T00:00:00.000","73.5","VA","1"
"20497","2024-12-31T22:00:00.000","1.3","VA","1"
"20497","2024-12-31T23:00:00.000","1.2","VA","1"
"20497","2025-01-01T00:00:00.000","1.0","VA","1"
"20523","2024-12-31T22:00:00.000","14.3","VA","1"
"20523","2024-12-31T23:00:00.000","12.9","VA","1"
"20523","2025-01-01T00:00:00.000","12.3","VA","1"
